Date,ARIMA Forecast,ARIMA Lower Bound,ARIMA Upper Bound,GRU Forecast,GRU Lower Bound,GRU Upper Bound,LSTM Forecast,LSTM Lower Bound,LSTM Upper Bound
01-02-1982,0.387678446,-0.09410369,0.869460582,0.37894756,-1.6210525,2.3789475,0.36403224,-1.6359677,2.3640323
01-03-1982,0.447396606,-0.051718059,0.946511272,0.38945317,-1.6105468,2.3894532,0.36492938,-1.6350706,2.3649294
01-04-1982,0.484809693,-0.023043211,0.992662597,0.40524864,-1.5947514,2.4052486,0.37124994,-1.6287501,2.37125
01-05-1982,0.441278084,-0.076262046,0.958818214,0.3889392,-1.6110609,2.3889391,0.38023743,-1.6197625,2.3802373
01-06-1982,0.467757198,-0.079121744,1.014636139,0.38757753,-1.6124225,2.3875775,0.38394243,-1.6160576,2.3839424
01-07-1982,0.418419826,-0.145993687,0.982833339,0.40335304,-1.596647,2.403353,0.3888439,-1.6111561,2.388844
01-08-1982,0.44128307,-0.15158832,1.03415446,0.41044313,-1.5895569,2.410443,0.40706626,-1.5929338,2.4070663
01-09-1982,0.445863562,-0.163422003,1.055149127,0.38595134,-1.6140487,2.3859513,0.43019608,-1.569804,2.430196
01-10-1982,0.453419151,-0.172686746,1.079525047,0.36266446,-1.6373355,2.3626645,0.430027,-1.569973,2.430027
01-11-1982,0.441238052,-0.200847671,1.083323775,0.36536723,-1.6346328,2.3653672,0.3826538,-1.6173462,2.3826537
01-01-1983,0.44585311,-0.215284136,1.106990357,0.36902916,-1.6309708,2.369029,0.36117816,-1.6388218,2.3611782
01-02-1983,0.441507812,-0.236128855,1.119144479,0.37500912,-1.6249909,2.375009,0.35530716,-1.6446929,2.355307
01-03-1983,0.445314003,-0.249260534,1.139888539,0.38017452,-1.6198255,2.3801746,0.34878728,-1.6512127,2.3487873
01-04-1983,0.444558875,-0.265510072,1.154627823,0.3867792,-1.6132208,2.3867793,0.36085123,-1.6391487,2.3608513
01-05-1983,0.445779656,-0.279938814,1.171498126,0.39908546,-1.6009145,2.3990855,0.35560635,-1.6443937,2.3556063
01-06-1983,0.443769977,-0.297077113,1.184617067,0.384086,-1.615914,2.3840861,0.35002658,-1.6499734,2.3500266
01-07-1983,0.444669549,-0.311436338,1.200775435,0.38048774,-1.6195123,2.3804877,0.3471082,-1.6528919,2.3471081
01-09-1983,0.44420989,-0.326533776,1.214953555,0.37717032,-1.6228297,2.3771703,0.3736942,-1.6263058,2.3736942
01-10-1983,0.444813003,-0.340402751,1.230028758,0.40229076,-1.5977092,2.4022908,0.37561074,-1.6243893,2.3756108
01-11-1983,0.444487037,-0.35481994,1.243794014,0.39495772,-1.6050422,2.3949578,0.3881056,-1.6118944,2.3881056
01-01-1984,0.444693164,-0.368564296,1.257950624,0.39987034,-1.6001296,2.3998704,0.38879666,-1.6112033,2.3887966
01-04-1984,0.444410901,-0.382513774,1.271335577,0.37132013,-1.6286799,2.3713202,0.38912004,-1.6108799,2.38912
01-05-1984,0.444583256,-0.395838251,1.285004763,0.37058717,-1.6294129,2.370587,0.4018422,-1.5981578,2.401842
01-07-1984,0.444508426,-0.409149745,1.298166598,0.38941807,-1.6105819,2.3894181,0.42136624,-1.5786338,2.4213662
